               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098479,            0.031267,            0.037515,          0.00032989,             0.19667,          0.00051793,          0.00014059,            0.085218,            0.029764,            0.036618,            0.070476,           0.0032804,           0.0032804
                   1,            0.090103,            0.029678,            0.035684,          0.00067273,             0.20333,          0.00064759,          0.00020977,             0.08317,             0.02879,            0.036298,            0.040345,           0.0064828,           0.0064828
                   2,            0.087298,             0.02973,            0.034613,          0.00034403,             0.17333,          0.00032763,          0.00010056,            0.086788,            0.027069,            0.035964,            0.010082,           0.0095532,           0.0095532
                   3,            0.086117,            0.028945,            0.033882,           0.0012231,             0.20612,          0.00080961,          0.00018855,            0.089028,            0.025719,            0.037062,            0.009406,            0.009406,            0.009406
                   4,            0.085031,            0.029737,            0.032494,           0.0017573,             0.21196,           0.0015353,           0.0003994,            0.087305,             0.02588,            0.035332,            0.009406,            0.009406,            0.009406
                   5,            0.082264,              0.0295,            0.031247,          0.00062278,             0.20333,          0.00057013,          0.00016348,            0.084243,            0.028115,            0.033448,            0.009208,            0.009208,            0.009208
                   6,            0.077757,            0.029954,            0.029014,            0.001519,             0.15557,           0.0017907,          0.00047073,            0.083204,            0.044163,            0.031627,             0.00901,             0.00901,             0.00901
                   7,             0.07198,            0.028738,            0.024971,             0.51422,            0.069383,            0.049646,            0.016749,            0.074608,            0.025405,            0.025584,            0.008812,            0.008812,            0.008812
                   8,             0.06962,            0.026913,            0.020769,              0.3311,             0.15456,            0.052662,            0.018655,            0.077167,            0.024634,            0.028754,            0.008614,            0.008614,            0.008614
                   9,            0.066327,            0.025921,            0.017654,             0.47339,             0.27667,             0.14379,             0.05103,            0.065872,            0.025244,            0.018489,            0.008416,            0.008416,            0.008416
                  10,            0.062945,            0.024128,            0.014525,             0.64886,             0.34333,             0.30029,             0.13458,            0.057407,            0.022678,            0.013318,            0.008218,            0.008218,            0.008218
                  11,            0.059522,             0.02284,            0.012503,             0.72058,             0.38333,             0.35257,             0.14279,            0.057052,            0.020672,            0.011125,             0.00802,             0.00802,             0.00802
                  12,            0.056339,            0.021631,            0.010969,             0.46807,             0.38456,             0.40633,             0.16013,            0.055023,            0.022396,            0.010395,            0.007822,            0.007822,            0.007822
                  13,             0.05264,            0.020131,           0.0097726,             0.58914,             0.39457,             0.46278,             0.22464,            0.053065,            0.020481,           0.0099446,            0.007624,            0.007624,            0.007624
                  14,            0.051425,            0.020253,           0.0083772,             0.69219,             0.53419,             0.58004,             0.22466,            0.052311,            0.018641,           0.0073966,            0.007426,            0.007426,            0.007426
                  15,            0.049404,            0.018987,           0.0077331,             0.71969,             0.52865,             0.58837,             0.33056,            0.044734,            0.018434,           0.0064884,            0.007228,            0.007228,            0.007228
                  16,            0.047807,            0.018868,           0.0074925,             0.66933,             0.63312,             0.68577,             0.34719,            0.043063,            0.017203,           0.0052763,             0.00703,             0.00703,             0.00703
                  17,            0.047461,             0.01822,           0.0067413,             0.78693,             0.57522,             0.67951,             0.37424,            0.043055,            0.017067,           0.0062027,            0.006832,            0.006832,            0.006832
                  18,            0.043612,            0.017588,           0.0059992,             0.76647,             0.67407,             0.72188,             0.40603,            0.041187,              0.0164,           0.0050815,            0.006634,            0.006634,            0.006634
                  19,            0.042598,            0.017396,           0.0059252,             0.76679,             0.69872,             0.75368,             0.44389,            0.038484,            0.015039,            0.003609,            0.006436,            0.006436,            0.006436
                  20,            0.041681,            0.016297,           0.0049941,              0.8099,             0.72287,             0.77367,             0.41271,            0.040422,            0.015401,           0.0037821,            0.006238,            0.006238,            0.006238
                  21,            0.040503,            0.016018,           0.0049558,             0.79371,             0.70979,             0.75617,             0.45882,            0.037189,             0.01526,           0.0039069,             0.00604,             0.00604,             0.00604
                  22,            0.039046,            0.015738,           0.0049516,              0.8232,             0.72478,             0.79449,             0.49287,            0.035672,            0.014706,           0.0032495,            0.005842,            0.005842,            0.005842
                  23,            0.037623,            0.015386,           0.0043348,             0.87112,             0.75992,             0.81027,             0.47613,            0.036455,            0.013799,           0.0030011,            0.005644,            0.005644,            0.005644
                  24,            0.038735,            0.015214,           0.0040947,             0.80695,             0.69624,             0.76986,             0.46453,            0.036797,            0.014743,           0.0026186,            0.005446,            0.005446,            0.005446
                  25,             0.03764,            0.014961,           0.0041187,             0.80844,             0.75882,             0.82179,             0.49863,            0.035868,            0.013696,           0.0027982,            0.005248,            0.005248,            0.005248
                  26,            0.036218,            0.014782,            0.003437,             0.87714,             0.77404,             0.83847,             0.54435,            0.032559,            0.013137,           0.0034652,             0.00505,             0.00505,             0.00505
