               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094225,            0.030437,            0.035248,             0.37984,             0.24333,            0.039157,           0.0080589,            0.077289,            0.024281,            0.027083,            0.070476,           0.0032804,           0.0032804
                   1,            0.072896,            0.023438,            0.018263,              0.6673,                0.41,             0.42406,             0.13855,            0.065251,            0.019163,           0.0091783,            0.040345,           0.0064828,           0.0064828
                   2,            0.069796,            0.018202,            0.010033,             0.63869,             0.53621,             0.53376,             0.23261,            0.058716,            0.016119,           0.0042851,            0.010082,           0.0095532,           0.0095532
                   3,            0.057518,            0.015375,           0.0074427,              0.5354,              0.7113,             0.59125,              0.2989,            0.050233,            0.012311,           0.0033066,            0.009406,            0.009406,            0.009406
                   4,            0.047582,            0.012899,           0.0056638,             0.72567,             0.85407,             0.86516,              0.3994,            0.042703,             0.01102,           0.0026716,            0.009406,            0.009406,            0.009406
                   5,            0.041087,             0.01156,           0.0042885,             0.74226,             0.86035,             0.86482,             0.45064,            0.041289,           0.0099642,           0.0021807,            0.009208,            0.009208,            0.009208
                   6,            0.039406,            0.011148,           0.0036118,             0.95268,             0.89419,              0.9583,             0.59256,            0.029939,           0.0094601,           0.0020935,             0.00901,             0.00901,             0.00901
                   7,             0.03337,            0.010587,           0.0030026,             0.90058,             0.90049,              0.9492,             0.61259,            0.031412,           0.0089462,           0.0020189,            0.008812,            0.008812,            0.008812
                   8,            0.032635,            0.010036,           0.0025444,             0.93467,              0.9277,              0.9684,             0.61764,            0.031555,           0.0087368,           0.0017879,            0.008614,            0.008614,            0.008614
                   9,            0.030665,           0.0097845,           0.0027306,             0.96995,             0.93095,             0.96911,             0.65355,            0.026615,           0.0085306,           0.0017883,            0.008416,            0.008416,            0.008416
                  10,            0.029594,           0.0095328,           0.0024081,             0.96909,             0.94588,             0.97015,             0.66911,            0.025296,           0.0082235,           0.0016567,            0.008218,            0.008218,            0.008218
                  11,            0.029687,           0.0095067,           0.0026516,             0.97019,             0.95763,             0.97906,             0.68694,            0.025909,           0.0082697,           0.0017009,             0.00802,             0.00802,             0.00802
                  12,            0.028013,           0.0090209,           0.0022906,             0.95313,             0.96131,             0.97913,             0.66058,            0.024994,           0.0082337,           0.0015853,            0.007822,            0.007822,            0.007822
                  13,            0.026743,           0.0088237,           0.0022999,             0.97139,             0.95558,             0.97847,             0.70065,            0.025351,           0.0080919,           0.0015166,            0.007624,            0.007624,            0.007624
                  14,            0.025153,            0.008561,           0.0020976,             0.97933,             0.95068,             0.98235,             0.70171,            0.023202,           0.0077714,           0.0014772,            0.007426,            0.007426,            0.007426
                  15,            0.024751,           0.0084683,           0.0019486,             0.98517,             0.94825,             0.97728,             0.65662,            0.025619,           0.0080039,            0.001327,            0.007228,            0.007228,            0.007228
